"lang" 
{ 
"Language" "swedish" 
"Tokens" 
{ 
// Teams
"TF_AutoAssign" 			"&1 TILLDELA AUTOMATISKT"
"[english]TF_AutoAssign" 			"&1 AUTO ASSIGN"
"TF_BlueTeam" 				"&3 BLU"
"[english]TF_BlueTeam" 				"&3 BLU"
"TF_RedTeam" 				"&4 RED"
"[english]TF_RedTeam" 				"&4 RED"

"TF_Observer" 				"OBSERVATÖR"
"[english]TF_Observer" 				"OBSERVER"
"TF_Random" 				"SLUMPVALT"
"[english]TF_Random" 				"RANDOM"

"TF_BlueTeam_Name"			"BLU"
"[english]TF_BlueTeam_Name"			"BLU"
"TF_RedTeam_Name"			"RED"
"[english]TF_RedTeam_Name"			"RED"

// Classes
"TF_Scout" 				"SPANARE"
"[english]TF_Scout" 				"SCOUT"
"TF_Sniper" 				"KRYPSKYTT"
"[english]TF_Sniper" 				"SNIPER"
"TF_Soldier" 				"SOLDAT"
"[english]TF_Soldier" 				"SOLDIER"
"TF_Demoman" 				"DEMOMAN"
"[english]TF_Demoman" 				"DEMOMAN"
"TF_Medic" 				"SJUKVÅRDARE"
"[english]TF_Medic" 				"MEDIC"
"TF_HWGuy" 				"TUNG ARTILLERIST"
"[english]TF_HWGuy" 				"HEAVY"
"TF_Pyro" 				"PYRO"
"[english]TF_Pyro" 				"PYRO"
"TF_Spy" 				"SPION"
"[english]TF_Spy" 				"SPY"
"TF_Engineer" 				"TEKNIKER"
"[english]TF_Engineer" 				"ENGINEER"

"TF_Class_Name_Undefined" 		" "
"[english]TF_Class_Name_Undefined" 		" "
"TF_Class_Name_Scout" 			"Spanare"
"[english]TF_Class_Name_Scout" 			"Scout"
"TF_Class_Name_Sniper" 			"Krypskytt"
"[english]TF_Class_Name_Sniper" 			"Sniper"
"TF_Class_Name_Soldier" 		"Soldat"
"[english]TF_Class_Name_Soldier" 		"Soldier"
"TF_Class_Name_Demoman" 		"Demoman"
"[english]TF_Class_Name_Demoman" 		"Demoman"
"TF_Class_Name_Medic" 			"Sjukvårdare"
"[english]TF_Class_Name_Medic" 			"Medic"
"TF_Class_Name_HWGuy" 			"Tung artillerist"
"[english]TF_Class_Name_HWGuy" 			"Heavy"
"TF_Class_Name_Pyro" 			"Pyro"
"[english]TF_Class_Name_Pyro" 			"Pyro"
"TF_Class_Name_Spy" 			"Spion"
"[english]TF_Class_Name_Spy" 			"Spy"
"TF_Class_Name_Engineer" 		"Tekniker"
"[english]TF_Class_Name_Engineer" 		"Engineer"

// Scoreboard strings
"TF_ScoreBoard_Blue"			"BLU"
"[english]TF_ScoreBoard_Blue"			"BLU"
"TF_ScoreBoard_Red"			"RED"
"[english]TF_ScoreBoard_Red"			"RED"
"TF_ScoreBoard_Player"			"%s1 spelare"
"[english]TF_ScoreBoard_Player"			"%s1 player"
"TF_ScoreBoard_Players"			"%s1 spelare"
"[english]TF_ScoreBoard_Players"			"%s1 players"
"ScoreBoard_Spectator"		"%s1 åskådare: %s2"
"[english]ScoreBoard_Spectator"		"%s1 spectator: %s2"
"ScoreBoard_Spectators"		"%s1 åskådare: %s2"
"[english]ScoreBoard_Spectators"		"%s1 spectators: %s2"
"TF_ScoreBoard_DEAD"			"DÖD"
"[english]TF_ScoreBoard_DEAD"			"DEAD"
"TF_Scoreboard_Name"			"Namn"
"[english]TF_Scoreboard_Name"			"Name"
"TF_Scoreboard_Score"			"Poäng"
"[english]TF_Scoreboard_Score"			"Score"
"TF_Scoreboard_Ping"			"Ping"
"[english]TF_Scoreboard_Ping"			"Ping"
"TF_Scoreboard_Bot"			"BOT"
"[english]TF_Scoreboard_Bot"			"BOT"
"TF_ScoreBoard_Point"			"%s1 poäng"
"[english]TF_ScoreBoard_Point"			"%s1 point"
"TF_ScoreBoard_Points"			"%s1 poäng"
"[english]TF_ScoreBoard_Points"			"%s1 points"
"TF_ScoreBoard_KillsLabel"		"Dödade:"
"[english]TF_ScoreBoard_KillsLabel"		"Kills:"
"TF_ScoreBoard_DeathsLabel"		"Död:"
"[english]TF_ScoreBoard_DeathsLabel"		"Deaths:"
"TF_ScoreBoard_AssistsLabel"		"Assister:"
"[english]TF_ScoreBoard_AssistsLabel"		"Assists:"
"TF_ScoreBoard_DestructionLabel"	"Förstörelse:"
"[english]TF_ScoreBoard_DestructionLabel"	"Destruction:"
"TF_ScoreBoard_CapturesLabel"		"Erövringar:"
"[english]TF_ScoreBoard_CapturesLabel"		"Captures:"
"TF_ScoreBoard_DefensesLabel"		"Försvar:"
"[english]TF_ScoreBoard_DefensesLabel"		"Defenses:"
"TF_ScoreBoard_DominationLabel"		"Dominering:"
"[english]TF_ScoreBoard_DominationLabel"		"Domination:"
"TF_ScoreBoard_RevengeLabel"		"Hämnd:"
"[english]TF_ScoreBoard_RevengeLabel"		"Revenge:"
"TF_ScoreBoard_HealingLabel"		"Helande:"
"[english]TF_ScoreBoard_HealingLabel"		"Healing:"
"TF_ScoreBoard_InvulnLabel"		"Osårbarhet:"
"[english]TF_ScoreBoard_InvulnLabel"		"Invulns:"
"TF_ScoreBoard_TeleportsLabel"		"Teleporteringar:"
"[english]TF_ScoreBoard_TeleportsLabel"		"Teleports:"
"TF_ScoreBoard_HeadshotsLabel"		"Huvudskott:"
"[english]TF_ScoreBoard_HeadshotsLabel"		"Headshots:"
"TF_ScoreBoard_BackstabsLabel"		"Rygghugg:"
"[english]TF_ScoreBoard_BackstabsLabel"		"Backstabs:"
"TF_ScoreBoard_BonusLabel"		"Bonus:"
"[english]TF_ScoreBoard_BonusLabel"		"Bonus:"

"TF_ScoreBoard_DamageLabel"		"Skada:"
"[english]TF_ScoreBoard_DamageLabel"		"Damage:"
"TF_ScoreBoard_SentryKillsLabel"		"Vaktpostdödade:"
"[english]TF_ScoreBoard_SentryKillsLabel"		"Sentry Kills:"


"Scoreboard_Server"			"Server: %s1"
"[english]Scoreboard_Server"			"Server: %s1"
"Scoreboard_TimeLeft"			"Tid kvar på server för karta: %s1:%s2:%s3"
"[english]Scoreboard_TimeLeft"			"Server map time left: %s1:%s2:%s3"
"Scoreboard_TimeLeftNoHours"		"Tid kvar på server för karta: %s1:%s2"
"[english]Scoreboard_TimeLeftNoHours"		"Server map time left: %s1:%s2"
"Scoreboard_NoTimeLimit"		"Tid kvar på server för karta: Ingen tidsgräns"
"[english]Scoreboard_NoTimeLimit"		"Server map time left: No time limit"
"Scoreboard_ChangeOnRoundEnd"		"(Kartbyte vid omgångens slut...) Tid kvar på server för karta: 00.00"
"[english]Scoreboard_ChangeOnRoundEnd"		"(Map change on round end...) Server map time left: 00:00"

"TF_SteamRequired"			"Steam krävs"
"[english]TF_SteamRequired"			"Steam Required"
"TF_SteamRequiredResetStats"		"Anslutning till Steam krävs för att du ska kunna återställa din statistik."
"[english]TF_SteamRequiredResetStats"		"A connection to Steam is required in order to reset your statistics."

"TF_Nemesis"				"NEMESIS"
"[english]TF_Nemesis"				"NEMESIS"
